4000
2000
3000
2000
2000
5000
7000
8000
9000
10000
11000
12000
13000
14000
15000
16000
17000
18000
19000
20000
21000
22000
2300
24000
25000
26000
27000
28000
29000
30000
31000
3200
33000
34000
35000
36000
37,000
38,000
39,000
40,000
41,000
42,000
43,000
44,000
45,000
46,000
47,000
48,000
49,000
50,000
51,000
52,000
53,000
54,000
55,000
56,000
57,000
58,000
59,000
60,000
61,000
62,000
63,000
64,000
65,000
66,000
67,000
68,000
69,000
70,000
71,000
72,000
73,000
74,000
75,000
76,000
77,000
78,000
79,000
80,000
81,000
82,000
83,000
84,000
85,000
86,000
87,000
88,000
89,000
90,000
91,000
92,000
93,000
94,000
95,000
96,000
